date       time    	Air_Temp	Barometric_Press	Dew_Point	Relative_Humidity	Wind_Dir	Wind_Gust	Wind_Speed
2013_01_01 00:03:23	30.80	28.30	21.30	67.40	98.60	 4.00	 0.00
2013_01_01 06:29:08	28.00	28.40	24.20	85.20	61.80	 2.00	 0.00
2013_01_01 06:35:16	28.10	28.40	24.60	86.60	52.20	 1.00	 0.00
2013_01_01 06:41:25	28.10	28.40	24.60	86.40	62.80	 2.00	 0.00
2013_01_01 06:47:33	28.00	28.40	24.30	85.60	45.60	 2.00	 0.20
2013_01_01 06:53:41	28.00	28.40	24.70	87.40	36.40	 4.00	 0.00
2013_01_01 06:59:50	28.20	28.40	24.80	86.80	43.80	 4.00	 0.00
2013_01_01 07:05:58	28.20	28.40	24.00	83.80	81.80	 1.00	 0.00
2013_01_01 07:12:06	28.80	28.40	24.60	83.80	103.00	 1.00	 0.00
2013_01_01 07:18:15	29.10	28.40	24.40	82.20	100.00	 1.00	 0.00
2013_01_01 07:24:23	29.30	28.40	24.90	83.40	99.20	 1.00	 0.00
